id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24265270,TO ENJOY THE MAGIC OF SEVILLA (WI-FI),182978733,Anhichem,Cerro - Amate,Palmete,37.3778,-5.9336,Entire home/apt,75,1,122,2019-09-29,6.85,1,74
24272869,Muy Tranquilo 3D+2B con Amplio Salón. Familias,183063734,Raul,Casco Antiguo,San Vicente,37.39655,-5.99698,Entire home/apt,99,2,60,2019-09-14,3.56,1,289
24274852,Clean room in sevilla,183081554,Michael,Cerro - Amate,"Santa Aurelia, Cantábrico, Atlántico, La Romería",37.379,-5.94969,Entire home/apt,25,1,110,2019-09-17,6.13,8,282
24275951,Divina Pastora HSH - Centrico Loft con wifi gratis,129442611,Andrés,Casco Antiguo,Feria,37.39783,-5.98993,Entire home/apt,65,2,6,2019-05-26,0.34,1,348
24280987,Habitación céntrica para 1 o 2 personas.,183082652,Olga,Nervión,Nervión,37.38367,-5.96094,Private room,25,1,74,2019-09-14,4.13,2,307
24282255,Habitación céntrica para 1 o 2 personas,183082652,Olga,Nervión,Nervión,37.38409,-5.96041,Private room,25,1,88,2019-09-02,4.94,2,333
24285588,Una casa en la Judería de Sevilla.,183176332,Samantha,Casco Antiguo,San Bartolomé,37.38617,-5.9872,Private room,50,2,27,2019-06-22,1.53,1,0
24293706,Apartamento en Casa Palacio Centro de Sevilla,4721299,Victoria,Casco Antiguo,"Encarnación, Regina",37.3952,-5.99403,Entire home/apt,100,2,14,2019-03-17,0.79,5,268
24294916,Luxury Seville two hundreds metres square three Bedrooms three Bathrooms Padre Marchena II,150247554,Pablo,Casco Antiguo,Arenal,37.38842,-5.99696,Entire home/apt,280,2,14,2019-05-11,0.80,29,324
24294936,SEVILLA,159467355,Julian,Cerro - Amate,Palmete,37.37426,-5.94088,Entire home/apt,80,1,4,2019-05-29,0.22,2,0
24296080,Apartamento Anibal González,183250949,Linsmar,Casco Antiguo,Santa Catalina,37.39322,-5.98778,Entire home/apt,80,1,6,2018-05-11,0.34,2,159
24302648,Apartamento en casa típica sevillana. Wifi,180016346,Luis,Nervión,San Bernardo,37.38269,-5.98186,Entire home/apt,75,3,43,2019-09-23,2.42,1,157
24316869,"Tempa Museo 5_E, Friendly Rentals",102947901,Claudia,Casco Antiguo,Museo,37.39252,-6.00026,Entire home/apt,72,1,13,2019-08-29,1.24,40,225
24320304,Habitación privada cama doble - Centro Sevilla,150591254,Elton,Casco Antiguo,Santa Catalina,37.39275,-5.98417,Private room,25,2,31,2019-06-16,1.82,1,28
24324718,Nice apt with balcony & Wifi,159580021,"Loic, Estelle & Co",Triana,Triana Casco Antiguo,37.38228,-6.00098,Entire home/apt,30,1,1,2018-04-17,0.06,13,363
24327603,Descansa y disfruta en Casa Azafrán Suites,183546364,Informatica Asesoria,Casco Antiguo,Santa Catalina,37.39284,-5.98598,Entire home/apt,55,2,75,2019-09-19,4.34,1,90
24332276,Una casa en el corazón de Sevilla.,183517720,Andres,Casco Antiguo,Feria,37.40027,-5.99199,Entire home/apt,55,1,65,2019-09-28,3.65,1,147
24335943,Suites Jardines de Murillo - Velazquez,156040078,Tabladilla 97,Nervión,San Bernardo,37.38498,-5.98517,Entire home/apt,78,1,28,2019-08-25,1.59,12,292
24335944,Suites Jardines de Murillo - Maestranza,156040078,Tabladilla 97,Nervión,San Bernardo,37.38483,-5.98532,Entire home/apt,78,1,12,2019-08-07,0.72,12,296
24335945,Suites Jardines de Murillo - Alcazar,156040078,Tabladilla 97,Nervión,San Bernardo,37.38464,-5.98641,Entire home/apt,78,1,15,2019-08-20,0.96,12,299
24335947,Suites Jardines de Murillo - Murillo,156040078,Tabladilla 97,Nervión,San Bernardo,37.38324,-5.9871,Entire home/apt,78,1,25,2019-08-22,1.43,12,284
24343377,Apartment sevilla center 五.,76132488,Yanyang,Casco Antiguo,San Julián,37.39585,-5.98724,Entire home/apt,65,1,37,2019-09-05,2.16,6,66
24349747,Bright apartment next to the Cathedral,150396466,Macarena,Casco Antiguo,Santa Cruz,37.38692,-5.99033,Entire home/apt,80,2,12,2019-08-16,0.69,14,61
24350206,Apartamento Doncellas 33,983968,Jesús,Casco Antiguo,Santa Cruz,37.38476,-5.98722,Entire home/apt,200,2,2,2018-11-11,0.11,9,157
24350725,Elegant apartment in the heart of Seville. A / C,51048225,"Javier, Sevilla En Movimiento",Casco Antiguo,San Bartolomé,37.3905,-5.98656,Entire home/apt,65,2,53,2019-09-09,3.01,72,317
24354967,Casa del  siglo XVI,181064397,Elena,Casco Antiguo,"Encarnación, Regina",37.39367,-5.99639,Entire home/apt,65,2,64,2019-09-10,3.63,3,328
24355816,GIFSA SEVILLA - PARQUE ALCOSA,148683783,Gifsa Holidays,Este - Alcosa - Torreblanca,Parque Alcosa,37.41069,-5.92142,Entire home/apt,70,1,5,2019-05-26,0.29,2,335
24356005,LUXURY PENTHOUSE- TERRACE/ CENTRO- ático - FERIA,183781238,Nemesia,Los Remedios,Los Remedios,37.37767,-5.99695,Entire home/apt,79,2,42,2019-09-25,2.38,1,147
24360614,Apartamento casa típica en Triana,183838746,Carmen,Triana,Triana Casco Antiguo,37.3827,-6.00143,Entire home/apt,49,2,3,2019-05-25,0.33,1,61
24368961,Coqueto apartamento en zona centro Sevilla,97658127,Nieves,Casco Antiguo,San Gil,37.4018,-5.99364,Entire home/apt,80,2,7,2019-06-02,0.40,1,327
24369416,Angeles 1F. 2 bedrooms next to the Cathedral,56838814,Markus,Casco Antiguo,Santa Cruz,37.38572,-5.99043,Entire home/apt,114,3,7,2019-04-16,0.41,33,0
