id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33797285,Villa MªLourdes ( Garage ),254973040,Ben,Guipuzcoa,Donostia-San Sebastian,43.31638,-2.00276,Entire home/apt,375,2,3,2019-07-03,0.54,2,211
33800216,Bright room in central location,255190055,Mauro,Guipuzcoa,Donostia-San Sebastian,43.3191,-1.98022,Private room,70,2,32,2019-09-15,5.65,3,0
33806465,Escapada romántica en plena naturaleza,253912796,Bergaretxe,Guipuzcoa,Legazpi,43.05318,-2.33097,Entire home/apt,85,2,7,2019-08-30,1.29,3,230
33818289,PATXILA-BORDA (4.-EKI): Relax on the slopes of Mount Jaizkibel,80463557,"Smiling Rentals, S.L.",Guipuzcoa,Lezo,43.33035,-1.8706,Entire home/apt,86,2,14,2019-09-15,2.61,44,94
33825233,Villa Santa Ana,47729828,Cristina,Vizcaya,Barrika,43.38803,-2.96721,Entire home/apt,400,6,5,2019-08-31,2.05,1,88
33827455,Apartamento ideal para disfrutar de San Sebastián,114019726,Nerea,Guipuzcoa,Donostia-San Sebastian,43.31071,-2.00553,Entire home/apt,100,1,27,2019-08-31,4.91,1,0
33832969,Donosti Deluxe,178677364,Marimar,Guipuzcoa,Donostia-San Sebastian,43.31398,-1.98301,Entire home/apt,165,2,24,2019-09-25,4.36,1,307
33841484,"Moderno piso en el centro, rodeado de tradición",31019676,Jon,Guipuzcoa,Donostia-San Sebastian,43.31461,-1.97968,Entire home/apt,85,2,21,2019-09-16,3.82,10,320
33855525,Habitacion en Bilbao centro 2,1161607,Marta,Vizcaya,Bilbao,43.25872,-2.94023,Private room,60,2,18,2019-09-15,3.62,6,171
33855639,CASERIO RURAL JUNTO BILBAO 4DORM y 3BAÑOS,228830271,Joana,Vizcaya,Laukiz,43.34617,-2.91726,Entire home/apt,135,2,12,2019-08-30,2.21,1,0
33857105,Alojamiento para el peregrino,253511627,Rakel,Vizcaya,Larrabetzu,43.27467,-2.75764,Private room,52,1,19,2019-09-11,3.88,3,173
33864241,Spacious room in central location,255190055,Mauro,Guipuzcoa,Donostia-San Sebastian,43.32326,-1.97421,Private room,80,2,31,2019-09-13,5.71,3,8
33866600,Piso céntrico en Santutxu,224036614,Tere,Vizcaya,Bilbao,43.25409,-2.90965,Entire home/apt,98,2,14,2019-09-22,2.68,1,233
33869078,Pequeño apartament rural entre el mar y la montaña,85797456,Naiara,Vizcaya,Ea,43.37628,-2.57894,Private room,55,2,28,2019-09-22,5.19,1,363
33871160,OLD TOWN. Acogedor apto. en el corazón de Bilbao.,255758716,Rober Y Cris,Vizcaya,Bilbao,43.25805,-2.9263,Entire home/apt,150,1,29,2019-09-26,5.27,1,64
33876672,Casa de Mery,162062857,Maria,Vizcaya,Bilbao,43.25434,-2.93147,Private room,45,1,12,2019-08-13,2.20,1,29
33891815,Gran Vía by FeelFree Rentals,124008929,FeelFree Rentals,Guipuzcoa,Donostia-San Sebastian,43.32331,-1.97291,Entire home/apt,531,1,7,2019-09-15,1.30,136,341
33893456,"ARRASATE SUITE  Stylish, Central and New.",221828138,Ekaitz,Guipuzcoa,Donostia-San Sebastian,43.3173,-1.98282,Entire home/apt,480,3,17,2019-09-24,3.98,2,142
33893988,Habitación con aseo en céntrico piso en Zarautz,91813416,Ainara,Guipuzcoa,Zarautz,43.2831,-2.1765,Private room,70,1,31,2019-09-26,5.50,1,339
33898077,LUMINOSO PISO EN NEGURI (EBI01202),252374967,Luz,Vizcaya,Getxo,43.34092,-3.00349,Entire home/apt,96,2,28,2019-09-27,5.64,1,15
33901531,"Apartamento bien comunicado, zona libre parking",69695209,Virginia,Guipuzcoa,Donostia-San Sebastian,43.30402,-1.99889,Entire home/apt,100,2,6,2019-08-30,3.21,1,90
33903696,A estrenar!,140017112,Maribel,Vizcaya,Bilbao,43.26781,-2.92197,Entire home/apt,70,1,4,2019-08-04,0.90,1,236
33904801,Habitación cómoda en Bilbao,155720811,Keyla Cr,Vizcaya,Bilbao,43.25956,-2.91444,Private room,45,2,1,2019-09-22,1,2,85
33908667,Apartamento en el centro de Gernika,134242872,Ana,Vizcaya,Gernika-Lumo,43.31521,-2.67801,Entire home/apt,185,1,7,2019-09-18,1.74,1,172
33908747,Cosy&Quiet/5 min from OldTown/WiFi/LBI299,152327992,Valentin,Vizcaya,Bilbao,43.25377,-2.92082,Entire home/apt,40,4,32,2019-09-25,7.38,1,318
33922204,"Habitación grande , luminosa y céntrica.",186798331,Ana,Ãlava,Vitoria-Gasteiz,42.84904,-2.67919,Private room,25,1,10,2019-09-30,2.10,1,178
33922352,SUSTRAIA - Junto a playa Zurriola - WIFi,13367653,Selectedrentals,Guipuzcoa,Donostia-San Sebastian,43.32853,-1.9695,Entire home/apt,145,2,10,2019-09-15,2.21,17,362
33925419,"Amazing  Luxury Property SEA VIEWS, A.A 6 pax!",25039584,Ss Housing,Guipuzcoa,Donostia-San Sebastian,43.31654,-2.02577,Entire home/apt,200,2,2,2019-08-29,0.94,26,92
33929305,"Modern apartment with terrace, 300m to the beach",31019676,Jon,Guipuzcoa,Donostia-San Sebastian,43.32361,-1.97268,Entire home/apt,85,2,15,2019-09-15,3.00,10,351
33935178,HABITACIÓN CÉNTRICA EN VITORIA GASTEIZ,256219040,Tatiana,Ãlava,Vitoria-Gasteiz,42.84527,-2.66339,Entire home/apt,21,1,18,2019-09-02,3.44,1,57
33949158,"Casa, parte vieja, vintage y fronteriza",255187164,Monika,Guipuzcoa,Hondarribia,43.36645,-1.79474,Entire home/apt,120,3,8,2019-08-31,2.70,1,272
33954931,Festival BBK Bilbao Habitación céntrica,256396333,Ji Ji,Vizcaya,Bilbao,43.25265,-2.91209,Private room,26,3,3,2019-09-23,0.55,1,4
33967965,"Apartamento rural, sin barreras arquitectónicas",253912796,Bergaretxe,Guipuzcoa,Legazpi,43.02265,-2.33476,Entire home/apt,75,1,3,2019-07-16,0.91,3,254
33977074,"Apartamento moderno en Algorta, Getxo",181088298,Nerea,Vizcaya,Getxo,43.35018,-3.00657,Entire home/apt,60,2,9,2019-09-29,2.55,1,146
33980100,"Plentzia, centro Casco viejo  con parking gratuito",97970926,Gonzalo,Vizcaya,Plentzia,43.40442,-2.94681,Entire home/apt,65,2,7,2019-09-09,1.29,6,46
33982221,Aquamarine Apartment,251152043,Iria,Guipuzcoa,Donostia-San Sebastian,43.31613,-1.9858,Entire home/apt,500,3,8,2019-09-08,1.75,2,82
33983048,Villa D'Abbadie | The Rentals Collection,15707672,The Rentals Collection,Guipuzcoa,Donostia-San Sebastian,43.303,-1.98298,Entire home/apt,360,1,2,2019-06-11,0.39,64,88
33990246,Sunny room 15 min walk to the Guggenheim +2 cats,10349209,Sara,Vizcaya,Bilbao,43.27015,-2.95348,Private room,50,1,12,2019-08-26,2.42,1,119
33993644,"$uit Presidentzial, en Santurtzi + WiFi + Netflix",164510432,Estefania,Vizcaya,Santurtzi,43.32837,-3.029,Private room,120,2,11,2019-09-11,2.84,1,344
33995123,Habitación doble en zona céntrica de bilbao,52382632,Elena,Vizcaya,Bilbao,43.25511,-2.92363,Private room,30,2,6,2019-08-04,1.17,1,0
34014772,Wonderful place in Zumaya.,256633750,Véronique,Guipuzcoa,Zumaia,43.2977,-2.2589,Entire home/apt,65,3,6,2019-08-16,1.64,1,121
34016426,Mirador Nervion H.Picaso,242323836,Miguel,Vizcaya,Portugalete,43.31907,-3.01497,Private room,57,1,7,2019-08-23,1.40,3,14
34018544,Kostanalu rooms 2. Sensei,216690749,Fran,Vizcaya,Gorliz,43.40478,-2.94214,Hotel room,60,1,1,2019-09-02,1,3,18
34027301,Lunaetxea _ Caserío en un entorno inmejorable!,45503918,Mikel,Ãlava,Kuartango,42.89053,-2.98227,Entire home/apt,160,2,4,2019-08-22,0.90,1,181
